page,rank,name,price,spec
1,순위없음,MSI GP72MVR 7RFX Leopard Pro (SSD 128GB),1268000원,인텔 / 코어i7-7세대 / 카비레이크 / i7-7700HQ 2.8GHz(3.8GHz) / 쿼드 코어 / 43.94cm(17.3인치) / 1920x1080 / 눈부심방지 / 와이드뷰 / 120Hz 지원 / 8GB / DDR4 / M.2 / 128GB / 지포스 GTX1060 / 6GB GDDR5 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.2 / HDMI / mini DP / 웹캠 / USB 2.0 / USB 3.0 / USB 3.1 Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / RGB 라이트 / 트리플모니터 / 41Wh / 운영체제 미포함 / 32mm / 2.7Kg / 색상: 블랙
1,순위없음,ASUS TUF FX504GD-E4423 (1TB),768000원,인텔 / 코어i5-8세대 / 커피레이크 / i5-8300H 2.3GHz(4.0GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 눈부심방지 / 와이드뷰 / 4GB / DDR4 / 1TB / 지포스 GTX1050 / 4GB GDDR5 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 48Wh / 운영체제 미포함 / 25mm / 2.3Kg / 색상: 블랙
1,순위없음,한성컴퓨터 EH58 BossMonster STORM84 (SSD 120GB),1229000원,인텔 / 코어i5-8세대 / 커피레이크 / i5-8400 2.8GHz / 헥사 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각(IPS) / 8GB / DDR4 / M.2 / 120GB / UHD 630 / 지포스 GTX1060 / 6GB GDDR5 / 듀얼 그래픽 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.2 / HDMI 2.0 / mini DP / 웹캠 / USB 3.0 / USB Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / RGB 라이트 / 트리플모니터 / 62Wh / 운영체제 미포함 / 30mm / 2.7Kg / 색상: 블랙
1,인기 순위1,LG전자 2018 그램 15ZD980-GX50K,1377000원 / 1563000원 / 1768000원 / 1492000원 / 1570000원 / 1781000원,인텔 / 코어i5-8세대 / 카비레이크-R / i5-8250U 1.6GHz(3.4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각(IPS) / 슬림형 베젤 / 8GB / DDR4 / M.2 / 256GB / UHD 620 / 시스템메모리공유 / 1Gbps 유선랜(젠더 별도) / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 3.0 / USB Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 지문 인식 / 72Wh / 운영체제 미포함 / 16.8mm / 1.09Kg / 색상: 화이트
1,인기 순위2,LG전자 2018 그램 14ZD980-GX50K,1268000원 / 1422000원 / 1616000원 / 1489000원 / 1396000원 / 1528000원 / 1647000원 / 1752000원 / 2104000원,인텔 / 코어i5-8세대 / 카비레이크-R / i5-8250U 1.6GHz(3.4GHz) / 쿼드 코어 / 35.56cm(14인치) / 1920x1080 / 슬림형 베젤 / 광시야각(IPS) / 8GB / DDR4 / M.2 / 256GB / UHD 620 / 시스템메모리공유 / 1Gbps 유선랜(젠더 별도) / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 3.0 / USB Type-C / 멀티 리더기 / 블록 키보드 / 키보드 라이트 / 지문 인식 / 72Wh / 운영체제 미포함 / 16.5mm / 995g / 색상: 화이트
1,인기 순위3,LG전자 2018 울트라PC 15UD480-GX50K,821000원 / 972000원 / 1100000원 / 867000원 / 900000원 / 945000원,인텔 / 코어i5-8세대 / 카비레이크-R / i5-8250U 1.6GHz(3.4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각(IPS) / 8GB / DDR4 / M.2 / 256GB / UHD 620 / 시스템메모리공유 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 운영체제 미포함 / 20.9mm / 1.89Kg / 색상 : 화이트
1,인기 순위4,LG전자 2018 울트라PC 15U480-GA56K,931000원 / 1071000원,인텔 / 코어i5-8세대 / 카비레이크-R / i5-8250U 1.6GHz(3.4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각(IPS) / 8GB / DDR4 / M.2 / 256GB / UHD 620 / 시스템메모리공유 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 윈도우10 / 20.9mm / 1.89Kg / 색상 :  화이트
1,인기 순위5,LG전자 2018 울트라PC GT 15UD780-PX50K,1181000원,인텔 / 코어i5-8세대 / 카비레이크-R / i5-8250U 1.6GHz(3.4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각(IPS) / 8GB / DDR4 / M.2 / 256GB / 지포스 GTX1050 / 4GB / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / USB Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 60Wh / 운영체제 미포함 / 19.9mm / 1.9Kg / 색상 : 블랙
1,순위없음,레노버 LEGION Y520-15IKB Extreme 1060 (SSD 128GB),1169000원,인텔 / 코어i7-7세대 / 카비레이크 / i7-7700HQ 2.8GHz(3.8GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 눈부심방지 / 광시야각 / 8GB / DDR4 / M.2(NVMe) / 128GB / 지포스 GTX1060 / 6GB / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.1 / HDMI / mini DP / 웹캠 / USB 2.0 / USB 3.0 / USB Type-C / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 45Wh / 운영체제 미포함 / 25.8mm / 2.4Kg / 색상: 블랙
1,순위없음,LG전자 2018 그램 15ZD980-GX76K (기본),1529000원,인텔 / 코어i7-8세대 / 카비레이크-R / i7-8550U 1.8GHz(4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 슬림형 베젤 / 광시야각(IPS) / 8GB / DDR4 / M.2 / 256GB / UHD 620 / 시스템메모리공유 / 1Gbps 유선랜(젠더 별도) / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 3.0 / USB Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 지문 인식 / 72Wh / 운영체제 미포함 / 16.8mm / 1.09Kg / 색상: 화이트
1,인기 순위6,한성컴퓨터 XH57 BossMonster Hero456GT,654000원,인텔 / 펜티엄 / 카비레이크 / G4560 (3.5GHz) / 듀얼 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각 / 8GB / DDR4 / M.2 / 120GB / HD 610 / 지포스 GTX1050 / 4GB GDDR5 / 듀얼 그래픽 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.2 / HDMI / D-SUB / 웹캠 / USB 2.0 / USB 3.0 / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 48.8Wh / 운영체제 미포함 / 31.5mm / 2.5Kg / 색상: 블랙
